id_producto,id_almacen,id_proveedor,id_tipo_movimiento,fecha_movimiento,id_usuario,numero_documento,cantidad,costo_unitario,costo_total,stock_anterior,stock_resultante,motivo,observaciones
1,ALM_CENTRAL,PROV001,MOV_ENTRADA,2023-01-01,1,COMP-000001,250,28.67,7167.5,0,250,Compra inicial,Primera compra - stock inicial
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-01,1,VTA-240396,-2,28.67,57.34,250,248,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-02,1,VTA-216610,-2,28.67,57.34,248,246,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-19,1,VTA-098633,-3,28.67,86.01,246,243,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_ENTRADA,2023-01-21,1,COMP-000002,150,28.67,4300.5,243,393,Compra periódica,Compra regular a proveedor
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-21,1,VTA-008429,-3,28.67,86.01,393,390,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-26,1,VTA-016573,-2,28.67,57.34,390,388,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-01-27,1,VTA-076497,-2,28.67,57.34,388,386,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-02-06,1,VTA-072442,-3,28.67,86.01,386,383,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-02-08,1,VTA-136449,-2,28.67,57.34,383,381,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-02-10,1,VTA-239323,-1,28.67,28.67,381,380,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-02-15,1,VTA-240076,-2,28.67,57.34,380,378,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-02-25,1,VTA-024474,-2,28.67,57.34,378,376,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-03,1,VTA-161067,-1,28.67,28.67,376,375,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-12,1,VTA-065478,-3,28.67,86.01,375,372,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-13,1,VTA-142228,-4,28.67,114.68,372,368,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-16,1,VTA-102839,-2,28.67,57.34,368,366,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-21,1,VTA-061849,-3,28.67,86.01,366,363,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-03-27,1,VTA-011535,-4,28.67,114.68,363,359,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-03,1,VTA-012332,-3,28.67,86.01,359,356,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-16,1,VTA-215638,-4,28.67,114.68,356,352,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-22,1,VTA-061881,-4,28.67,114.68,352,348,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-25,1,VTA-038763,-2,28.67,57.34,348,346,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-26,1,VTA-180891,-2,28.67,57.34,346,344,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-27,1,VTA-246510,-2,28.67,57.34,344,342,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-04-30,1,VTA-004209,-2,28.67,57.34,342,340,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-01,1,VTA-038491,-4,28.67,114.68,340,336,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-02,1,VTA-231455,-4,28.67,114.68,336,332,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-08,1,VTA-214336,-2,28.67,57.34,332,330,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-10,1,VTA-000319,-4,28.67,114.68,330,326,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-20,1,VTA-014274,-2,28.67,57.34,326,324,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-20,1,VTA-110793,-1,28.67,28.67,324,323,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-24,1,VTA-118739,-1,28.67,28.67,323,322,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-24,1,VTA-026604,-1,28.67,28.67,322,321,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-05-31,1,VTA-152120,-4,28.67,114.68,321,317,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-01,1,VTA-113062,-4,28.67,114.68,317,313,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-07,1,VTA-104364,-1,28.67,28.67,313,312,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-12,1,VTA-058442,-4,28.67,114.68,312,308,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-15,1,VTA-168463,-4,28.67,114.68,308,304,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-15,1,VTA-125808,-3,28.67,86.01,304,301,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-16,1,VTA-028985,-3,28.67,86.01,301,298,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-17,1,VTA-078656,-1,28.67,28.67,298,297,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-18,1,VTA-245417,-1,28.67,28.67,297,296,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-23,1,VTA-148535,-2,28.67,57.34,296,294,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-06-28,1,VTA-118705,-2,28.67,57.34,294,292,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-07-06,1,VTA-187681,-1,28.67,28.67,292,291,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-07-20,1,VTA-003731,-3,28.67,86.01,291,288,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-07-22,1,VTA-156521,-4,28.67,114.68,288,284,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-07-23,1,VTA-205635,-2,28.67,57.34,284,282,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_SALIDA_VENTA,2023-07-24,1,VTA-129037,-3,28.67,86.01,282,279,Venta de producto,Venta desde OroCommerce
1,ALM_CENTRAL,PROV001,MOV_ENTRADA,2023-07-29,1,COMP-000003,121,28.67,3469.07,279,400,Compra periódica,Compra regular a proveedor
